CODE,ORIGINAL ARTIST,SONG TITLE
9456,,REDEMPTION
9747,QODIR,PENYIHIR
11413,SALMA MARGARETH,TORRO MO DIINGARAN
477,THE ADAMS,FOOL
6900,EDO MARTIN,SEKOPI
8979,,BAGINDA MUHAMMAD
7258,,KANGEN - PIANO VERSION
607,ANANG DAN KRISDAYANTI,SINARI
7610,,BLANK WAY
18057,PRIADHS FEAT MARO,GASLIGHT
17466,,MEMORI
17117,MALIK,DISTANCE
16237,,FALLING OUT OF RHYME
7453,INDRAGERSN,ROLLIN
12753,,STORY OF MY LIFE
17640,,LOVELESS
4201,LA HILA,KUPU KUPU BIRU
6577,KOES PLUS,TAKDIR KEHIDUPANKU
1455,,TAK SEINDAH MALAM KEMARIN
14548,,RAYUAN
10814,EL ALICE,KU RINDU IBU
15233,BENYAMIN S FEAT. EDDY SUD,SITI MARSITOL
15268,,ONE DAY AT A TIME
15208,,PENGANTEN
3153,MONDO GASCARO,AWKWARD
6675,AMSB FAMILY,SELALU BERSYUKUR DONG
18004,PUGAR RESTU JULIAN,SELAMAT TINGGAL
13115,,ENTE KADANG KADANG
3668,NARHA ANINDYAGUNA,A MOTHERS LOVE IN C MINOR
18162,RUB OF RUB,UBAH WARNAKU MENJADI KUNING DARI BIRU YANG MEMBELENGGU
3490,JIKUSTIK,SEPARUH HATI
18381,FIGURA RENATA,SEBUAH ANOMALI
14690,,ABADI
10071,AXL HUNILA,CUMA BUTUH ITU
9620,,HEY BITCH
9091,,27
8207,,VERLANGEN
5469,,EGO
11426,,KEINGINANKU
11158,,SUKACITA MELIMPAH
9964,"IFA FACHIR, DIMAS WIBISANA",SELESAI
3566,KAHITNA,FLY ME OVER
1754,,MY LOVE
814,RAISA,TENTANG CINTA
9052,HERI YOSELIN,COWOK SEJATI
12843,,HUJAN DI LANGIT
18326,,SAMBUTLAH HARI INI
12649,,SUNNY DAY AND SMILES
3662,,SINGGAH
16900,,NEW HOPE
775,CHRISTIE KAORI,AKU SELALU ADA
2043,KOES BERSAUDARA,PAGER KUNING
10423,,SEINDAH DULU
4699,DISKORIA FEAT DIAN SASTRO,SERENATA JIWA LARA
10221,,UNCERTAINTY
12144,NATHANIA WIBOWO,BETTER
10353,,SELAMAT JALAN SAHABATKU
10611,ALEXA,SATU KOSONG
6438,KOES PLUS,BUNGA
10416,NO KOES,BUAH JAMBU
9309,,HANYA UNTUKMU
13503,,PELARIAN
15614,,KUCARI BAYANGMU
15547,MALA AGATHA,UPDATE STATUS
14153,,CINTA MENEPI
17783,,SOAP IN MY EYE
10623,ALEXA,CINTA MELULU
754,,LABIRIN EPIDEMI
2266,KOES PLUS,AKU DAN DIA
2585,ANTI HEROES,GLOWING
9925,WILLY ANGGAWINATA,MIMPI INDAHKU
12554,,SEPENUHNYA
9321,LIGHTCRAFT,DREAM DANCER
8957,AGUS WISMAN,SHEILA
9780,,ENGKAULAH HIDUPKU
16618,"PAUL PARTOHAP, DEABDIL, REMI, AMIRA KARIN",RAYAKAN HARI INI
14194,THE BRANDALS,ANJING URBAN (SANG KORBAN II)
15593,,CINTA TAK SELALU BERSAMA
7038,,APA YANG TERJADI
17576,,PEDULI
17745,KITA-KITA,SAHABATKU BINTANG
11008,,ERWIN MINTA CUTI
3067,,BILANG SA RINDU
18084,THE CHRONICLES OF HAPPINESS RIDE AND SERVICES,PILIH AKU ATAU DIA
16509,,LET THE MUSIC ON
14573,,KABUT
13185,,() BATTESIMO
13447,ERNA ARISMA,BUANG MANTAN
16806,,POLARITAS MEDIOKRITAS
15616,,TUHAN TOLONGLAH
17421,,MANUT DALANE GUSTI
3911,ARAH,I WANT TO ROCK N ROLL
2515,,AKU PERGI
17983,ABEL HURAY,YOURE ALWAYS THE BEST
9113,,EVERYTHING I DO
9827,UND BODEVAN,WHYYOUNEEDSPACEIFYOUDONT?
12794,ALEX KUPLE,SAD STORIES
5679,,CINTA SUCI SEORANG PERAWAN
538,,MENINGGALKANMU
9497,,GGS GANTENG-GANTENG SWAG
5476,RARA,PANGGUNG GEMILANG
14539,SARAS,JOMLO HAPPY
4753,,ASMARA
8233,,MOBIL TUA
10683,,CERITA YULI
17100,KARAN AUJLA,MEXICO
12490,,HARAPANKU
13563,,BANCAR BUNCUR
7004,,MENGHARAPMU
1616,NAFF,BILA AKU PULANG
5179,,CINTA KAPAN DATANG
10770,ADI DARMAWAN,ETUDE 5
6966,,SYAIR ILAHI
5957,ADDICTIVE,WUJUDKAN
9812,LOKUS,PERUBAHAN TAK BUTUH RATING
83,,FETT SANG PEMBURU
13015,,ABSOLUTE
14831,MIMA,COME OVER
12319,,PUNCAK JATUH CINTA
1971,LESTI,ADA CERITA
16235,,TONGUE-TIED
7842,,BLOOD TRAP
5754,BIMBO,TITIAN SERAMBUT DIBELAH TUJUH
16907,,SEMESTA MERESTUI
1726,PO3THREE,KU TAK LAKU LAKU
9123,SVMMERDOSE,MORE THAN FRIENDS
11161,NDC WORSHIP,TAK TERBATAS
16519,KAPTEN PIPING,BUBUR AYAM
1502,FLANELLA,BULAN
12541,CYNATIC,FLY
17553,,BUNGA
5732,BIMBO,RASUL HANCURKAN BERHALA
9899,MR.KITTY,AFTER DARK
12868,,DAN HUJAN 1
11401,,SENGA MO TU KADAMMU
1206,NADYA FATIRA,BIASA-BIASA SAJA
2916,,HEAVEN IN HELL
659,ANANG,SEPARUH JIWAKU PERGI
2104,,PADA SIAPA
5924,"SAM, DJAKA, IIN",TAHUN 2000
18046,,BERASA MUDA
2062,KOES BERSAUDARA,WIT GEDHANG
4864,,SORAK SORAI
18241,,ANXIETY TEMAN ANAK AHENSI
2930,BAYU RISA,BETTER
1645,,BUMIKU BUMIMU
1925,,AKU MENYESAL
11193,REDO DAENG BADJIE,CAHAYA
10122,,INGATKAH DIRIKU
14785,JIS MINISTRY,LEBIH MENGASIHIMU
4549,,MAAFKAN
9985,"NEAR, MKARTIKAWATI",NANTI
88,,PROGRAM PARTY SERINGAI
2676,,TUBUHMU MEMBIRU TRAGIS
1011,,BERKILAU
14502,HUJAN ESOK HARI,CIRCLE
11965,,KITA DEWASA
5156,,MASIH BISA PANJANG
3283,,MR. NICE GUY
3177,,SAAT DUNIAKU TENGGELAM
2630,,I DONT KNOW WHAT IT IS
6150,,DALAN ANYAR
846,,NONTON BOKEP
10628,BIBUS,BILA TIBA SATU WAKTU
8714,RENNY DJAYOESMAN,ORANG MASA DEPAN
16536,STVE JAY,TERIMALAH AKU (INSTRUMENTAL)
7156,,TERIMALAH MAAFKU
1509,FLANELLA,TIGA HARI YANG LALU
3796,,"PANGERAN SENJA,PELINDUNG HUTAN"
14852,,LAMBAI
1352,,AKU BUKAN PILIHAN HATIMU
11435,,PURA-PURA BAHAGIA
772,ANIMA,AJARI AKU
11684,THE HERMANSYAH,DOA
5618,,BANDUNG
2569,,DO YOU LOVE ME?
16305,PT MENGGELORA,7 PURNAMA
15335,,DENGAN SEMARAK MAJULAH
9386,,KELAPARAN SEBELUM TIDUR
16500,ANSURYA,RIBUAN SENJA
2614,,PROBLEM IS YOU
3746,FOURTWNTY,ARGUMENTASI DIMENSI
9031,,RATU YOUTUBE
9953,,PAGI HARI
18305,GARBY BAND,SELAMAT TINGGAL
17565,DIANDRAS,FENOMENA ROMANSA
602,,HANYA TUHAN
3672,NARHA ANINDYAGUNA,WAKE UP
17040,,MODUS OPERANDI
2052,KOES BERSAUDARA,MINGGU MALAM
14434,,LEBIH BAIK (REMASTERED)
9074,,TAKUT
2525,,NO FRUITS FOR TODAY
13834,CHASEIRO,SEANDAINYA SEDERHANA
18196,,DI BAWAH LAMPU
10139,AUDY,PERGI CINTA
3764,ASTERISKA,DISTANCE
2459,KOES PLUS,MARI BERNYANYI
17655,HAVINHELL,WAKE ME UP
978,,BICARA
2980,MARIA SIMORANGKIR,YAKIN BAHAGIA
11577,,ISIM DHOMIR
6714,,SEMBUHKAN JENUH
10882,,SELAMAT PAGI
18055,,IKI PIYE
11520,,ALIF (SASTRO GENDING)
6771,,GAK ADA MANGGUNGNYA
6629,OM PMR (PENGANTAR MINUM RACUN),INAGURASI
2681,,KENAKALAN REMAJA DI ERA INFORMATIKA
8339,,BEFORE ITS TOO LATE
12370,SOUND DA' CLAN,CINTA
2044,KOES BERSAUDARA,HANYA KEPADAKU
17225,,HUKUM DALAM NEGERI
15399,"CONNECT WORSHIP,BOBBY FEBIAN,GRACIA THOMAS",CINTA SEMPURNA
9658,,TOKI-TOKI (BUAYA)
314,,SURRENDER
12861,GARDIKA GIGIH PRADIPTA,PENANTIAN
13527,,KERTAS PUTIH
10999,MAN,INA
4664,NAIF,CANDU DUNIAWI
17033,,BERTAHANLAH SEDIKIT LEBIH LAMA
1786,SHERINA,SINGING PIXIE
5630,,HOME
8567,PUTI CHITARA,THE SWEET NIGHTMARE
13889,ZEKE KHASELI,ENTER THE SPIDER
6872,,UNTUNG ADA KAMU
5936,,NARADIRA
11668,ADY,CINTA TAK BERARAH
2612,ANDRE HARIHANDOYO & SONIC PEOPLE,WHO TOOK MY MONEY
10888,,IKHTISAR
4077,,SELALU CINTA
14486,,PRETTY LIES
3049,,BIAR SA YANG MENGALAH
1760,SETIA,SAKIT HATI
6726,WIDEKS,TAK SEINDAH HARAP
818,RAISA,LOVE YOU LONGER
18109,ELEMENT,TAK TERSISA
8686,DHANIS MARTIN,KUSEMATKAN CINTAKU
1639,NAFF,KUINGIN KAU SELALU ADA
1596,MAUDY AYUNDA,I AM MORE
2796,MARION JOLA,DAMBA
1836,ST12,PANGERAN CINTA
3209,DIDITSAAD,SURAT KALENG
4646,RUTH SAHANAYA,COBA LAGI
2205,KOES PLUS,PADANG LUAS
13846,"KARIMATA, LYDIA NURSAID, DIAN P P",RINTANGAN
15201,BENYAMIN S,NGUPI
2228,,DATANGLAH
16295,,DEKAPMU
10788,,LET THE MUSIC
12580,,LUCKY MAN
1948,,TAK BISA BERSAMA
4821,DIKSORIA,BALADA INSAN MUDA
1710,,CITY LIGHTS
16233,NEONOMORA,HEARTLESS
15389,,YESUS KEMENANGANKU
15653,AUFA,OTHER TIMES
6907,,GETUN
17465,"CONNECT WORSHIP, BOBBY FEBIAN",KAU LAYAK
10865,,JHUNG KEJHUNGAN 1
11606,,ONLY YOU
2719,YOLANDA THEODORA,MR. RIGHT
